Title,Rating
The Dark Knight,9.0
The Prestige,8.5
The Dark Knight Rises,8.4
Batman Begins,8.2
Howl's Moving Castle,8.2
Ford v Ferrari,8.1
The Big Short,7.8
The Fighter,7.8
A Backyard Story,7.8
The Machinist,7.7
3:10 to Yuma,7.7
Empire of the Sun,7.7
American Psycho,7.6
Henry V,7.5
The Flowers of War,7.5
Equilibrium,7.4
Little Women,7.3
Rescue Dawn,7.3
"Intent to Destroy: Death, Denial & Depiction",7.3
American Hustle,7.2
Vice,7.2
Hostiles,7.2
Public Enemies,7.0
Newsies,6.9
Velvet Goldmine,6.9
I'm Not There,6.8
Harsh Times,6.8
All the Little Animals,6.8
Pocahontas,6.7
Out of the Furnace,6.7
The New World,6.7
Swing Kids,6.7
Terminator Salvation,6.5
Mowgli: Legend of the Jungle,6.5
A Midsummer Night's Dream,6.4
Laurel Canyon,6.4
Mio in the Land of Faraway,6.3
Metroland,6.3
Reign of Fire,6.2
The Portrait of a Lady,6.2
Exodus: Gods and Kings,6.0
The Promise,6.0
Shaft,6.0
Antlers,5.9
Captain Corelli's Mandolin,5.9
Knight of Cups,5.6
The Secret Agent,5.6
Royal Deceit,5.5
